app_name,ios_app_name,ios_app_id,ios_reviews,google_app_id,google_reviews
Headspace,headspace-meditation-sleep,493145008,"806,200",com.getsomeheadspace.android,"231,603"
Calm,calm,571800810,"1,300,000",com.calm.android,"408,135"
Stoic,stoic,1312926037,87,com.stoicroutine.stoic,377
Happify,happify-for-stress-worry,730601963,"3,400",com.happify.happifyinc,"2,764"
Shine,shine-calm-anxiety-stress,1293721589,"28,800",com.shinetext.shine,"8,221"
MindShift,mindshift-cbt-anxiety-relief,634684825,211,com.bstro.MindShift,"1,438"
MoodTools,moodtools-depression-aid,1012822112,127,com.moodtools.moodtools,"3,169"
Insight Timer,insight-timer-meditation-app,337472899,"307,100",com.spotlightsix.zentimerlite2,"129,194"
Moodfit,moodfit,1054458809,329,com.robleridge.Moodfit,504
Talkspace,talkspace-therapy-counseling,661829386,"20,400",com.talkspace.talkspaceapp,"3,551"
MoodMission,moodmission,1140332763,17,com.moodmission.moodmissionapp,193
Sanvello,sanvello-anxiety-depression,922968861,"16,400",com.pacificalabs.pacifica,"21,305"
MindDoc,minddoc-your-companion,1052216403,"28,200",de.moodpath.android,"36,432"
Smiling Mind,smiling-mind,560442518,344,com.smilingmind.app,"3,728"
CBT-i Coach,cbt-i-coach,655918660,69,gov.va.mobilehealth.ncptsd.cbti,163
Youper,youper-self-guided-therapy,1060691513,"14,400",br.com.youper,"49,180"
Innerhour,innerhour-self-care-therapy,1323264990,27,com.theinnerhour.b2b,"12,003"
Breathe2Relax,breathe2relax,425720246,238,org.t2health.breathe2relax,"1,114"
Rootd,rootd-panic-attack-relief,1289018369,376,com.rootd,"2,976"
Ten Percent Happier,ten-percent-happier-meditation,992210239,"94,600",com.changecollective.tenpercenthappier,"13,925"
Pzizz,pzizz-sleep-nap-focus,915664862,"8,500",com.pzizz.android,"7,111"
Noisli,noisli,862773459,204,com.noisli.noisli,"3,654"
Slumber,slumber-fall-asleep-insomnia,1109543953,"13,500",fm.slumber.sleep.meditation.stories,240
Whatâ€™s Up?,whats-up-a-mental-health-app,968251160,228,com.jacksontempra.apps.whatsup,"3,429"
Breethe,breethe-meditation-sleep,920161006,"47,800",com.Meditation.app,"3,840"
Meditopia,meditopia-meditation-breathe,1190294015,"16,500",app.meditasyon,"159,388"
BetterMe,betterme-calm-sleep-meditate,1363010081,"4,000",com.gen.bettermeditation,"11,349"
Mindfulness with Petit Bambou,mindfulness-with-petit-bambou,941222646,"1,200",com.petitbambou,"99,591"
Fabulous,fabulous-daily-routine-planner,1203637303,"47,700",co.thefabulous.app,"405,408"
Reflectly,reflectly-journal-ai-diary,1241229134,"76,000",com.reflectlyApp,"37,447"
Relax,relax-meditation-guided-mind,367506176,"8,800",ipnossoft.rma.premium,"21,432"